text,sentiment
"bruhh it hurts, when i switch from my 90hz android to my fathers 60hz iphone, i can see the difference and that hurts my eye",2 stars
I came from a IPhone 13 Pro Max to this. And it was horrible. Standard iPhones for someone under the age of 50 sucks. And I only use iPhones and have been since the 3GS.,1 star
"I am also one of those peoplw that cant tell the dofference between 120hz and 60hz. Hell, i am hard pressed to discern a difference betwen 60 and 30. Point is it has much more reasonable application in a conputer than a phone. A phone is for browsing internet and watching youtube videos.",2 stars
should i buy 15 or 13???,1 star
I keep trying to find a video for seniors who want very basic how to info,3 stars
"Marques is absolutely the most handsome tech reviewer &lt;333 Also, he is extremely non biased and fair. My absolute favorite tech reviewer between him and Justine although we know she is definitely biased to Apple(I am too so that&#39;s fine by me) She does a really good job at being informative as well but Marques good God what a stud.",5 stars
What is the weather app?,3 stars
I just changed from an 8 to a 15 and there is a huge difference! Specially on how fast 15 is compared to my old one. But the best and most important to me are the cameras. Its AMAZING!,5 stars
Have an iPhone 10 right now and planning on updating to the 15. Thanks for this review!!!,5 stars
Guys i have a samsung s24 do i change from that to an iphone 15.. i just prefer the ios and ui on the iphones,3 stars
I cant believe what apple came up with to bring the ipad pro in 2017 with 120hz display,5 stars
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=55"">0:55</a> (ULTIMATE)",5 stars
Mine is being delivered as I type,5 stars
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=61"">1:01</a> how does apple say it?",1 star
Why does it feel like iphone 15 is so slow? I just got mine and it feels like I wanna refund for it. Its giving me bad vibes,2 stars
You earned a Sub,3 stars
Just got the iPhone 15 upgrading from an Samsung A53 4G the first thing I noticed is that it doesnt take 20 seconds to type 1 letter,3 stars
"I had an iPhone 13 regular , I finna have iPhone 15 pink color ",3 stars
"Ive upgraded from iPhone 11 to 15 and as a standard user, honestly as much as ridiculous this might sound but the biggest change for me day-to-day is just USB-C.",3 stars
"I upgraded from iPhone 11 to iPhone 15 and I must say, the difference is big. Especially the build quality, display, Dynamic Island, 48 MP resolution and 6 GB RAM! Really, good! ",5 stars
upgraded to this phone from the 11 pro max. me not using the telephoto lens made me realize I am &quot;most people&quot;.,5 stars
"Hi there!<br>What cable is that at <a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=450"">7:30</a>, the red one with a white connector?<br>Thanks!<br>edit: it&#39;s a Oneplus cable.",1 star
Does it go 95mph?,3 stars
My recommendation-Dont go for an iphone lol,4 stars
"My iPhone XR just decided to suicide by itself and wont turn on after like 6 years, its been a great phone but its time to move on I guess. I think Ill get the iPhone 15 it seems to be awesome.",2 stars
"Coming from S23 FE to iP 15, i didnt missed the 120hz screen on S23 fe somehow, barely noticeable",2 stars
"I have an iPhone 13, my first iPhone ever for being an Android user all my life, and the 14 doesnt have enough difference for me to get it and the 15 isnt different except for USB-C. Im really waiting for the iPhone SE 4.",3 stars
Wish I can have one of those I got iPhone 6s:(,1 star
"i switch from iphone 8 to iphone 15: its a solid phone, but guess i will switch to a55 samsung galaxy, i find it odd to even leave my iphone for scared of being stolen,,,no such is worth that ...if you have insured your phone,...so it was a good solid phone..worth it...",3 stars
"im here in 2024 and i just want the<br> iphone 15 in black, the phone looks great the features are cool its pretty worth it",5 stars
How do you protect yourself from radiation please let me know thank you ?,5 stars
Isiphone15. 5 g can I ut it up to 4 g,3 stars
All new. !!!    Ok.  ,4 stars
"I just upgraded from a iPhone 8+ to a 15 standard. Im going to miss my home button, but I look forward to finally joining the future.",4 stars
<br> LOOK I HAVE<br> IPHONE 14 pro max<br><br>,4 stars
I&#39;m thinking of upgrading from XS max to 15 is it worth it?,3 stars
Super Retina HD vs xdr,5 stars
This is my first phone I ever got when it came out i got it as a birthday gift when I turned 13 still have it,5 stars
Is it a mistake to switch from a Galaxy S22 Ultra to this phone?<br>Have been interested in switching to iPhone for a while now. Any ideas?,1 star
Laura khaomeans its awesome,5 stars
"Im upgrading from iPhone 11 to iPhone 15pro, cant wait to feel the difference, especially since my cameras never worked on my iPhone 11 I feel like im going to be blown away  also o noticed that alot of people arw upgrading from iphone 11 glad i was doing something right ",2 stars
I haven&#39;t watched ur video bcz of Motorola&#39;s ad.,1 star
My late son Ashish Panda introduced me to you.He was a fan of yours.Thanks for your precise analysis,5 stars
Mine is model black don&#39;t have the model printed inside the usb-c charger port,1 star
i watched this video and selected the Apple iPhone 15 max pro this week in anticipation of Apple ai this week.  <br>for what it is worth i love it including the size.  it just feels good in my hands.  keep your mind out of the gutter.,5 stars
Watching on an ip 15 I just bought,5 stars
If you want AI you gotta get the pro,3 stars
How did he casually predict the IPhone SE ,2 stars
"I would call these colors Bubblegum, Lemonade, Peppermint, Glacier, and Midnight.",3 stars
When he said &quot;box of crayons&quot; I was dead ,1 star
Laury Coves,4 stars
"I might have to buy a new iPhone since my13 doesnt receive any notifications!! thats how Apple make money by crashing your own devices down into buying a new one, thanks Apple ",1 star
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=240"">4:00</a><br>My brother has an older iphone and tried my phone which is 120 hz samsung 20fe<br><br>He immediatly said how smooth it is and it feels that way. It just feels like its skipping a beat. Idk if apple does the 60 hz better but it does make a difference...",3 stars
which is this the opening song,3 stars
The lack of respect in his voice is funny considering he made that kind of wallpaper app. He made his life through reviews. Apple made their brand through making products. So some humility would be much appreciated my wallpaper guy.,3 stars
Kiehn Forge,4 stars
Keshaun Motorway,4 stars
Thank you so much Brother,5 stars
I had a iPhone XR for about 6 maybe seven years and just upgraded to an iPhone 15 pro max but I feel as though that the battery just diminishes to quickly in my opinion,3 stars
Estevan Way,5 stars
Johanna Rapid,5 stars
Jakubowski Lake,4 stars
8599 Price Tunnel,5 stars
I am thinking of buing this one,1 star
Dock Inlet,4 stars
Does anyone know what app he has for the weather?,3 stars
"I upgraded from the 6S to the iPhone 15 and it is a HUGE difference, lol I&#39;m just not a fan of upgrading yearly, and changed it now because the 6S was fighting for his life. I won&#39;t get another upgrade for years to come...",5 stars
Kevon Harbors,4 stars
Bechtelar Isle,1 star
Chyna Square,1 star
Edison Villages,5 stars
Thank you!,5 stars
Donna Rest,3 stars
Roberts Way,4 stars
Vinnie Freeway,4 stars
Darius Center,5 stars
